parent_model,dataset,numshot,student_model,mean_auc,mean_complexity
tabllm,covertype,32,logistic_rule_regression,0.6917,43.2
tabllm,covertype,32,logistic_regression,0.6256,98.0
tabllm,covertype,32,decision_tree,0.6533,40.6
tabllm,covertype,256,ttnet,0.7454,554.2
tabllm,covertype,256,xgboost,0.7991,2429.8
tabllm,covertype,256,logistic_rule_regression,0.797,31.0
tabllm,covertype,256,logistic_regression,0.8068,98.0
tabllm,covertype,256,decision_tree,0.7703,38.6
tabllm,covertype,128,ttnet,0.7664,557.6
tabllm,covertype,128,xgboost,0.799,1582.8
tabllm,covertype,128,logistic_rule_regression,0.7851,53.2
tabllm,covertype,128,logistic_regression,0.7936,98.0
tabllm,covertype,128,decision_tree,0.7743,149.0
tabllm,credit_card_default,64,ttnet,0.6934,540.6
tabllm,credit_card_default,64,xgboost,0.737,5413.6
tabllm,credit_card_default,64,logistic_rule_regression,0.7168,42.0
tabllm,credit_card_default,64,logistic_regression,0.6941,42.0
tabllm,credit_card_default,64,decision_tree,0.7053,42.6
tabllm,credit_card_default,16,ttnet,0.6843,653.2
tabllm,credit_card_default,16,xgboost,0.6112,3978.2
tabllm,credit_card_default,16,logistic_rule_regression,0.5721,118.0
tabllm,credit_card_default,16,logistic_regression,0.631,42.0
tabllm,credit_card_default,16,decision_tree,0.5028,21.8
tabllm,credit_card_default,4,ttnet,0.3267,556.8
tabllm,credit_card_default,4,xgboost,0.3369,8455.6
tabllm,credit_card_default,4,logistic_rule_regression,0.3389,48.0
tabllm,credit_card_default,4,logistic_regression,0.2987,42.0
tabllm,credit_card_default,4,decision_tree,0.3385,359.0
tabllm,credit_card_default,8,ttnet,0.3365,593.4
tabllm,credit_card_default,8,xgboost,0.3151,1143.2
tabllm,credit_card_default,8,logistic_rule_regression,0.3212,108.4
tabllm,credit_card_default,8,logistic_regression,0.3089,42.0
tabllm,credit_card_default,8,decision_tree,0.3583,378.6
tabllm,credit_card_default,32,ttnet,0.671,567.0
tabllm,credit_card_default,32,xgboost,0.6273,8197.6
tabllm,credit_card_default,32,logistic_rule_regression,0.6039,76.0
tabllm,credit_card_default,32,logistic_regression,0.6281,42.0
tabllm,credit_card_default,32,decision_tree,0.6513,77.8
tabllm,credit_card_default,256,ttnet,0.7048,629.4
tabllm,credit_card_default,256,xgboost,0.6946,2336.0
